order_id,product,category,quantity,price_per_unit,total_price,order_date
81,Socks,Outdoors,4,1000.0,4000.0,2023-06-24
82,Hat,Furniture,6,20.0,120.0,2023-10-07
83,Basketball,Automotive,10,50.0,500.0,2024-03-07
84,Pants,Automotive,7,170.0,1190.0,2023-11-16
85,Shoes,Drinks,4,100.0,400.0,2023-10-17
86,Pants,Beauty,9,200.0,1800.0,2023-09-19
87,Jacket,Toys,1,120.0,120.0,2023-06-21
88,Basketball,Toys,3,180.0,540.0,2023-08-12
89,Shirt,Music,2,60.0,120.0,2024-02-12
90,Gloves,Toys,9,110.0,990.0,2024-05-06
91,Shirt,Outdoors,10,120.0,1200.0,2024-02-29
92,Jacket,Drinks,3,80.0,240.0,2023-10-21
93,Shirt,Kitchen,7,130.0,910.0,2023-11-20
94,Socks,Jewelry,10,50.0,500.0,2023-06-13
95,Shoes,Toys,3,20.0,60.0,2024-03-14
96,Pants,Movies,8,10.0,80.0,2023-08-08
97,Hammer,Furniture,9,170.0,1530.0,2024-02-02
98,Basketball,Books,2,120.0,240.0,2024-05-17
99,Shirt,Books,6,140.0,840.0,2023-08-22
100,Basketball,Movies,6,60.0,360.0,2023-09-19
101,Jacket,Pets,6,140.0,840.0,2023-10-10
102,Jacket,Pets,10,110.0,1100.0,2023-06-11
103,Shirt,Sports,7,100.0,700.0,2023-09-12
104,Gloves,Clothing,10,70.0,700.0,2023-09-21
105,Basketball,Health,3,10.0,30.0,2023-11-21
106,Shirt,Beauty,1,100.0,100.0,2023-11-12
107,Laptop,Toys,4,1000.0,4000.0,2023-10-12
108,Laptop,Outdoors,6,190.0,1140.0,2023-08-13
109,Gloves,Pets,4,30.0,120.0,2023-10-09
110,Hammer,Electronics,10,160.0,1600.0,2024-04-24
111,Shirt,Tools,5,100.0,500.0,2023-12-09
112,Gloves,Toys,8,70.0,560.0,2023-08-19
113,Gloves,Office,6,50.0,300.0,2024-02-27
114,Hat,Books,6,130.0,780.0,2023-10-27
115,Hammer,Automotive,1,140.0,140.0,2023-09-26
116,Socks,Food,8,20.0,160.0,2024-03-05
117,Shirt,Pets,2,190.0,380.0,2023-10-26
118,Gloves,Electronics,3,80.0,240.0,2023-08-20
119,Socks,Jewelry,10,50.0,500.0,2024-04-17
120,Hat,Outdoors,9,200.0,1800.0,2023-12-05
121,Gloves,Music,10,140.0,1400.0,2024-02-20
122,Shoes,Garden,8,160.0,1280.0,2023-06-11
123,Basketball,Furniture,3,10.0,30.0,2024-03-20
124,Socks,Food,7,200.0,1400.0,2024-05-13
125,Laptop,Jewelry,1,190.0,190.0,2023-09-28
126,Basketball,Music,7,190.0,1330.0,2023-11-28
127,Basketball,Outdoors,1,200.0,200.0,2024-03-17
128,Hammer,Outdoors,9,140.0,1260.0,2023-11-05
129,Laptop,Sports,9,70.0,630.0,2023-11-21
130,Pants,Automotive,5,140.0,700.0,2024-06-02
131,Jacket,Automotive,6,40.0,240.0,2024-01-31
132,Shoes,Drinks,7,90.0,630.0,2024-05-03
133,Shoes,Furniture,9,150.0,1350.0,2024-05-04
134,Hammer,Beauty,4,20.0,80.0,2024-04-10
135,Laptop,Tools,3,80.0,240.0,2024-01-24
136,Gloves,Books,10,170.0,1700.0,2023-12-08
137,Hammer,Drinks,5,150.0,750.0,2024-03-16
138,Laptop,Drinks,7,90.0,630.0,2023-09-27
139,Hammer,Health,1,60.0,60.0,2023-09-10
140,Jacket,Beauty,1,190.0,190.0,2023-10-10
141,Pants,Drinks,3,120.0,360.0,2023-07-04
142,Hat,Kitchen,4,110.0,440.0,2024-01-28
143,Pants,Furniture,4,180.0,720.0,2024-01-13
144,Laptop,Furniture,9,10.0,90.0,2023-10-02
145,Socks,Automotive,9,170.0,1530.0,2023-06-19
146,Laptop,Books,8,180.0,1440.0,2023-08-07
147,Gloves,Office,2,130.0,260.0,2023-06-20
148,Pants,Toys,2,50.0,100.0,2024-05-08
149,Gloves,Pets,10,150.0,1500.0,2024-01-22
150,Gloves,Drinks,1,180.0,180.0,2023-12-07
151,Socks,Movies,2,40.0,80.0,2023-08-04
152,Jacket,Electronics,9,90.0,810.0,2024-04-26
153,Socks,Electronics,9,60.0,540.0,2023-12-12
154,Gloves,Pets,4,170.0,680.0,2023-09-04
155,Hammer,Furniture,2,170.0,340.0,2023-11-26
156,Socks,Electronics,7,30.0,210.0,2023-09-13
157,Jacket,Music,8,70.0,560.0,2024-06-07
158,Hammer,Jewelry,9,200.0,1800.0,2024-04-26
159,Gloves,Beauty,7,200.0,1400.0,2023-07-22
160,Gloves,Outdoors,2,160.0,320.0,2023-11-11
161,Shirt,Jewelry,8,80.0,640.0,2023-07-27
162,Hat,Clothing,2,200.0,400.0,2024-02-12
163,Shoes,Pets,4,20.0,80.0,2024-05-27
164,Shoes,Electronics,6,1000.0,6000.0,2024-01-30
165,Shirt,Automotive,10,200.0,2000.0,2023-11-26
166,Socks,Kitchen,8,50.0,400.0,2023-08-23
167,Hammer,Furniture,1,170.0,170.0,2024-02-25
168,Hat,Automotive,5,90.0,450.0,2023-07-03
169,Shoes,Drinks,8,30.0,240.0,2024-04-10
170,Shoes,Clothing,3,90.0,270.0,2024-05-30
171,Basketball,Books,5,60.0,300.0,2024-03-29
172,Shoes,Sports,9,20.0,180.0,2023-08-20
173,Hat,Health,2,20.0,40.0,2023-06-13
174,Basketball,Automotive,3,30.0,90.0,2023-11-04
175,Hat,Toys,2,80.0,160.0,2024-06-08
176,Shoes,Drinks,7,30.0,210.0,2024-05-13
177,Jacket,Office,3,150.0,450.0,2023-10-11
178,Laptop,Movies,6,120.0,720.0,2024-03-11
179,Shoes,Electronics,4,200.0,800.0,2024-01-03
180,Laptop,Automotive,9,150.0,1350.0,2024-02-03
181,Shirt,Jewelry,2,180.0,360.0,2024-05-28
182,Shoes,Movies,7,160.0,1120.0,2023-06-22
183,Hat,Kitchen,8,10.0,80.0,2024-03-08
184,Shoes,Electronics,9,120.0,1080.0,2023-12-17
185,Shoes,Pets,5,50.0,250.0,2024-01-25
186,Pants,Furniture,1,10.0,10.0,2024-06-07
187,Basketball,Toys,3,80.0,240.0,2024-04-16
188,Gloves,Music,2,130.0,260.0,2024-05-11
189,Jacket,Garden,2,180.0,360.0,2023-12-09
190,Laptop,Automotive,10,60.0,600.0,2024-04-03
191,Shoes,Garden,6,180.0,1080.0,2024-05-08
192,Hat,Office,9,50.0,450.0,2023-07-28
193,Hat,Health,3,130.0,390.0,2023-12-15
194,Hat,Automotive,6,190.0,1140.0,2024-02-26
195,Shirt,Pets,9,160.0,1440.0,2023-07-01
196,Shoes,Drinks,3,10.0,30.0,2023-09-21
197,Shirt,Sports,7,130.0,910.0,2023-11-18
198,Socks,Outdoors,1,190.0,190.0,2023-08-31
199,Pants,Jewelry,1,100.0,100.0,2024-01-29
200,Basketball,Electronics,4,100.0,400.0,2024-05-11
201,Shoes,Drinks,1,40.0,40.0,2023-12-16
202,Socks,Sports,10,70.0,700.0,2024-05-03
203,Jacket,Electronics,5,130.0,650.0,2023-06-28
204,Shoes,Electronics,2,150.0,300.0,2023-09-06
205,Laptop,Movies,9,70.0,630.0,2024-05-20
206,Hammer,Clothing,2,150.0,300.0,2023-10-22
207,Socks,Pets,5,190.0,950.0,2024-02-14
208,Hammer,Food,9,140.0,1260.0,2024-03-28
209,Hat,Beauty,2,110.0,220.0,2023-09-07
210,Socks,Food,6,120.0,720.0,2024-03-06
211,Socks,Music,1,140.0,140.0,2024-05-22
212,Gloves,Pets,5,160.0,800.0,2023-06-27
213,Shoes,Outdoors,7,130.0,910.0,2023-07-12
214,Hat,Office,3,100.0,300.0,2023-06-22
215,Basketball,Kitchen,7,60.0,420.0,2023-08-21
216,Laptop,Electronics,8,80.0,640.0,2024-01-19
217,Pants,Health,2,30.0,60.0,2024-01-22
218,Gloves,Pets,6,40.0,240.0,2024-02-25
219,Socks,Music,6,50.0,300.0,2023-07-26
220,Hat,Beauty,8,190.0,1520.0,2023-10-28
221,Hat,Pets,4,170.0,680.0,2023-12-03
222,Hat,Outdoors,4,130.0,520.0,2023-10-06
223,Socks,Automotive,2,10.0,20.0,2024-04-01
224,Laptop,Electronics,5,170.0,850.0,2024-03-24
225,Jacket,Electronics,4,10.0,40.0,2023-12-24
226,Hat,Tools,4,20.0,80.0,2024-02-24
227,Laptop,Sports,1,40.0,40.0,2024-01-04
228,Laptop,Jewelry,6,20.0,120.0,2024-03-08
229,Hammer,Pets,8,80.0,640.0,2024-04-30
230,Hat,Garden,2,1000.0,2000.0,2023-08-30
231,Pants,Pets,3,60.0,180.0,2024-02-08
232,Pants,Outdoors,3,20.0,60.0,2024-04-05
233,Socks,Garden,10,20.0,200.0,2024-02-01
234,Pants,Garden,6,50.0,300.0,2023-07-25
235,Hammer,Drinks,3,160.0,480.0,2024-05-31
236,Laptop,Pets,6,130.0,780.0,2024-02-14
237,Laptop,Outdoors,10,150.0,1500.0,2023-06-14
238,Shoes,Movies,8,50.0,400.0,2024-05-16
239,Hat,Pets,9,20.0,180.0,2023-08-14
240,Shoes,Clothing,4,40.0,160.0,2024-05-24
241,Basketball,Beauty,2,50.0,100.0,2023-09-09
242,Gloves,Music,10,20.0,200.0,2024-05-23
243,Socks,Automotive,5,40.0,200.0,2023-08-05
244,Shoes,Tools,8,40.0,320.0,2024-04-28
245,Hat,Electronics,1,40.0,40.0,2023-08-25
246,Jacket,Furniture,9,150.0,1350.0,2023-10-26
247,Socks,Garden,6,120.0,720.0,2023-10-18
248,Pants,Clothing,4,100.0,400.0,2023-08-25
249,Pants,Music,8,90.0,720.0,2023-08-09
250,Laptop,Automotive,6,120.0,720.0,2024-01-12
251,Hat,Drinks,1,1000.0,1000.0,2024-04-10
252,Laptop,Drinks,10,60.0,600.0,2024-04-14
253,Hammer,Books,9,120.0,1080.0,2024-01-09
254,Pants,Beauty,5,20.0,100.0,2023-12-21
255,Socks,Toys,7,190.0,1330.0,2023-08-18
256,Shirt,Pets,1,80.0,80.0,2023-08-28
257,Laptop,Outdoors,6,60.0,360.0,2023-09-20
258,Pants,Beauty,1,90.0,90.0,2023-09-18
259,Laptop,Jewelry,1,80.0,80.0,2023-09-28
260,Socks,Health,10,120.0,1200.0,2024-03-29
261,Shoes,Office,3,200.0,600.0,2023-09-29
262,Jacket,Food,4,200.0,800.0,2024-05-05
263,Gloves,Furniture,6,130.0,780.0,2023-07-13
264,Shirt,Drinks,2,140.0,280.0,2023-07-19
265,Hammer,Tools,6,50.0,300.0,2024-03-20
266,Basketball,Toys,7,100.0,700.0,2023-07-16
267,Hammer,Music,9,50.0,450.0,2024-05-24
268,Basketball,Books,3,110.0,330.0,2024-06-06
269,Hat,Kitchen,3,60.0,180.0,2023-06-28
270,Hammer,Electronics,2,60.0,120.0,2023-12-03
271,Gloves,Sports,5,80.0,400.0,2023-10-16
272,Basketball,Kitchen,4,1000.0,4000.0,2023-09-05
273,Pants,Food,8,90.0,720.0,2023-06-28
274,Socks,Food,4,130.0,520.0,2023-07-25
275,Socks,Music,3,1000.0,3000.0,2024-02-03
276,Laptop,Electronics,2,100.0,200.0,2023-11-06
277,Socks,Drinks,5,120.0,600.0,2024-04-22
278,Socks,Electronics,2,190.0,380.0,2024-01-23
279,Hat,Jewelry,6,20.0,120.0,2023-07-10
280,Socks,Office,6,10.0,60.0,2023-10-20
281,Gloves,Kitchen,9,1000.0,9000.0,2024-05-01
282,Hammer,Drinks,10,70.0,700.0,2023-07-26
283,Laptop,Garden,4,10.0,40.0,2024-05-31
284,Shirt,Outdoors,6,80.0,480.0,2023-08-02
285,Gloves,Electronics,9,80.0,720.0,2023-09-28
286,Laptop,Drinks,4,90.0,360.0,2023-07-28
287,Shoes,Garden,7,160.0,1120.0,2023-12-19
288,Shoes,Electronics,7,50.0,350.0,2023-08-25
289,Socks,Sports,8,90.0,720.0,2024-02-28
290,Laptop,Movies,2,30.0,60.0,2023-09-12
291,Basketball,Electronics,7,200.0,1400.0,2023-10-03
292,Basketball,Garden,8,150.0,1200.0,2023-08-16
293,Basketball,Outdoors,2,80.0,160.0,2023-06-20
294,Pants,Jewelry,7,30.0,210.0,2024-03-29
295,Laptop,Jewelry,8,110.0,880.0,2023-07-05
296,Laptop,Music,3,1000.0,3000.0,2024-02-22
297,Hat,Sports,7,50.0,350.0,2023-06-12
298,Hammer,Tools,2,150.0,300.0,2024-03-10
299,Shoes,Tools,2,60.0,120.0,2023-12-18
300,Pants,Toys,7,170.0,1190.0,2024-02-06
301,Shoes,Office,7,80.0,560.0,2023-08-23
302,Jacket,Jewelry,2,20.0,40.0,2023-06-29
303,Hammer,Furniture,3,120.0,360.0,2023-10-01
304,Jacket,Music,10,100.0,1000.0,2023-09-14
305,Basketball,Kitchen,10,1000.0,10000.0,2023-11-06
306,Shoes,Pets,6,110.0,660.0,2024-01-16
307,Shoes,Books,2,150.0,300.0,2023-06-14
308,Shirt,Beauty,7,180.0,1260.0,2024-03-20
309,Pants,Furniture,4,70.0,280.0,2024-01-25
310,Shirt,Tools,3,80.0,240.0,2024-05-14
311,Jacket,Outdoors,8,110.0,880.0,2023-10-04
312,Hammer,Music,3,60.0,180.0,2023-12-10
313,Socks,Tools,9,100.0,900.0,2023-12-08
314,Hammer,Kitchen,9,60.0,540.0,2023-07-28
315,Pants,Drinks,8,110.0,880.0,2024-02-23
316,Basketball,Music,6,120.0,720.0,2023-11-18
317,Pants,Furniture,8,130.0,1040.0,2023-11-30
318,Laptop,Food,4,160.0,640.0,2023-07-07
319,Shoes,Drinks,4,70.0,280.0,2023-12-19
320,Shoes,Drinks,5,190.0,950.0,2023-12-12
321,Socks,Automotive,1,140.0,140.0,2023-10-04
322,Jacket,Beauty,2,60.0,120.0,2023-08-01
323,Socks,Garden,3,1000.0,3000.0,2023-06-19
324,Shoes,Tools,2,170.0,340.0,2023-10-01
325,Basketball,Office,3,190.0,570.0,2024-03-17
326,Hammer,Outdoors,6,140.0,840.0,2024-02-21
327,Basketball,Clothing,6,160.0,960.0,2024-03-29
328,Shoes,Beauty,5,150.0,750.0,2023-08-21
329,Shirt,Health,6,80.0,480.0,2024-03-05
330,Pants,Furniture,4,180.0,720.0,2023-08-22
331,Shirt,Food,1,140.0,140.0,2023-08-17
332,Gloves,Clothing,9,200.0,1800.0,2023-08-26
333,Basketball,Movies,5,90.0,450.0,2023-07-22
334,Shoes,Automotive,6,170.0,1020.0,2024-05-30
335,Shirt,Health,2,40.0,80.0,2024-02-02
336,Socks,Music,8,90.0,720.0,2023-09-08
337,Laptop,Outdoors,5,120.0,600.0,2023-08-07
338,Basketball,Books,4,160.0,640.0,2024-03-31
339,Laptop,Food,4,70.0,280.0,2023-09-10
340,Gloves,Health,5,200.0,1000.0,2023-07-22
341,Shirt,Kitchen,8,1000.0,8000.0,2024-03-22
342,Basketball,Beauty,1,70.0,70.0,2023-08-09
343,Laptop,Kitchen,10,70.0,700.0,2024-02-29
344,Hat,Toys,3,120.0,360.0,2023-07-13
345,Hammer,Tools,9,1000.0,9000.0,2023-08-04
346,Pants,Health,4,80.0,320.0,2024-03-23
347,Shoes,Garden,2,160.0,320.0,2023-12-30
348,Gloves,Health,3,1000.0,3000.0,2024-03-26
349,Socks,Movies,3,160.0,480.0,2023-07-31
350,Jacket,Kitchen,3,190.0,570.0,2024-05-01
351,Shoes,Sports,7,190.0,1330.0,2023-07-31
352,Socks,Pets,3,60.0,180.0,2023-07-17
353,Basketball,Office,9,100.0,900.0,2024-01-22
354,Basketball,Automotive,2,70.0,140.0,2024-02-18
355,Laptop,Sports,2,10.0,20.0,2023-12-01
356,Shirt,Garden,3,200.0,600.0,2023-06-18
357,Laptop,Sports,1,50.0,50.0,2023-08-21
358,Jacket,Kitchen,9,110.0,990.0,2023-09-29
359,Shoes,Electronics,2,50.0,100.0,2024-05-26
360,Jacket,Movies,8,180.0,1440.0,2023-12-22
361,Gloves,Movies,2,120.0,240.0,2023-10-24
362,Shoes,Pets,3,50.0,150.0,2023-12-10
363,Gloves,Electronics,4,80.0,320.0,2023-06-30
364,Basketball,Drinks,9,30.0,270.0,2024-03-12
365,Gloves,Office,5,180.0,900.0,2023-07-17
366,Hammer,Automotive,4,20.0,80.0,2024-02-28
367,Pants,Electronics,7,100.0,700.0,2024-05-12
368,Shirt,Clothing,10,180.0,1800.0,2023-09-09
369,Gloves,Beauty,5,140.0,700.0,2023-08-07
370,Basketball,Electronics,1,30.0,30.0,2024-05-15
371,Hat,Health,8,110.0,880.0,2024-02-10
372,Laptop,Beauty,6,20.0,120.0,2024-02-28
373,Socks,Electronics,1,80.0,80.0,2024-03-18
374,Basketball,Music,7,110.0,770.0,2023-10-13
375,Jacket,Toys,6,40.0,240.0,2024-04-01
376,Jacket,Books,5,100.0,500.0,2023-07-19
377,Jacket,Books,3,120.0,360.0,2023-11-30
378,Basketball,Furniture,7,10.0,70.0,2024-03-15
379,Laptop,Tools,7,190.0,1330.0,2023-06-21
380,Laptop,Health,1,130.0,130.0,2023-09-02
381,Basketball,Health,9,40.0,360.0,2024-05-28
382,Hammer,Kitchen,1,40.0,40.0,2023-10-06
383,Shoes,Health,2,100.0,200.0,2023-09-15
384,Hat,Movies,6,50.0,300.0,2023-08-16
385,Basketball,Health,2,180.0,360.0,2023-09-22
386,Socks,Toys,10,40.0,400.0,2023-11-05
387,Shoes,Food,1,130.0,130.0,2023-08-07
388,Laptop,Electronics,5,120.0,600.0,2023-09-05
389,Basketball,Movies,3,80.0,240.0,2024-05-24
390,Pants,Kitchen,7,120.0,840.0,2023-08-27
391,Hammer,Drinks,5,200.0,1000.0,2023-09-12
392,Shoes,Jewelry,7,70.0,490.0,2024-03-27
393,Hat,Beauty,10,190.0,1900.0,2023-10-28
394,Shirt,Automotive,6,30.0,180.0,2024-02-21
395,Hammer,Garden,8,40.0,320.0,2023-08-11
396,Socks,Clothing,1,190.0,190.0,2023-07-03
397,Basketball,Music,3,120.0,360.0,2024-03-16
398,Shoes,Food,5,70.0,350.0,2023-10-13
399,Pants,Office,6,10.0,60.0,2023-09-23
400,Basketball,Office,6,190.0,1140.0,2024-04-07
401,Shoes,Pets,3,110.0,330.0,2024-05-11
402,Shoes,Outdoors,9,130.0,1170.0,2023-08-07
403,Shoes,Pets,3,130.0,390.0,2024-03-05
404,Shoes,Clothing,6,120.0,720.0,2024-03-04
405,Socks,Garden,2,80.0,160.0,2023-10-26
406,Socks,Music,3,170.0,510.0,2024-05-08
407,Hammer,Health,6,160.0,960.0,2024-02-09
408,Hat,Books,1,70.0,70.0,2023-09-23
409,Hat,Pets,1,200.0,200.0,2024-05-16
410,Laptop,Clothing,1,130.0,130.0,2024-05-14
411,Socks,Movies,9,130.0,1170.0,2023-07-03
412,Hat,Books,9,170.0,1530.0,2024-05-20
413,Hat,Beauty,5,70.0,350.0,2023-12-18
414,Socks,Furniture,4,20.0,80.0,2024-05-31
415,Laptop,Clothing,6,30.0,180.0,2024-03-22
416,Jacket,Toys,7,110.0,770.0,2024-02-19
417,Laptop,Outdoors,7,200.0,1400.0,2023-11-19
418,Shoes,Movies,7,70.0,490.0,2024-02-03
419,Jacket,Sports,6,120.0,720.0,2024-04-21
420,Basketball,Office,6,90.0,540.0,2023-08-18
421,Hat,Books,3,150.0,450.0,2023-11-19
422,Laptop,Movies,7,100.0,700.0,2023-07-07
423,Basketball,Garden,7,20.0,140.0,2023-10-26
424,Jacket,Drinks,5,10.0,50.0,2024-05-11
425,Hat,Office,3,40.0,120.0,2023-12-16
426,Pants,Kitchen,6,130.0,780.0,2024-05-15
427,Gloves,Garden,8,60.0,480.0,2024-01-04
428,Gloves,Garden,5,10.0,50.0,2024-03-23
429,Shirt,Automotive,7,130.0,910.0,2023-11-01
430,Socks,Automotive,1,40.0,40.0,2024-05-18
431,Hat,Movies,4,170.0,680.0,2023-06-28
432,Laptop,Health,1,200.0,200.0,2023-12-26
433,Laptop,Drinks,8,60.0,480.0,2023-06-18
434,Socks,Kitchen,7,70.0,490.0,2023-07-15
435,Shirt,Garden,2,170.0,340.0,2023-12-17
436,Gloves,Furniture,5,70.0,350.0,2023-08-22
437,Gloves,Food,9,180.0,1620.0,2024-04-11
438,Basketball,Sports,8,190.0,1520.0,2023-09-21
439,Laptop,Tools,1,160.0,160.0,2023-11-17
440,Shoes,Furniture,1,80.0,80.0,2024-01-24
441,Socks,Food,3,110.0,330.0,2023-12-25
442,Jacket,Jewelry,9,20.0,180.0,2023-06-23
443,Shoes,Electronics,9,1000.0,9000.0,2024-04-09
444,Socks,Drinks,6,50.0,300.0,2024-04-11
445,Hammer,Garden,1,110.0,110.0,2023-06-30
446,Shirt,Drinks,3,50.0,150.0,2023-09-30
447,Hammer,Food,2,60.0,120.0,2023-06-11
448,Shirt,Toys,4,170.0,680.0,2024-02-10
449,Shoes,Office,4,190.0,760.0,2023-09-27
450,Shirt,Office,6,60.0,360.0,2024-02-26
451,Pants,Drinks,3,170.0,510.0,2023-11-16
452,Pants,Office,1,70.0,70.0,2024-03-22
453,Shirt,Pets,8,20.0,160.0,2024-01-22
454,Jacket,Beauty,2,60.0,120.0,2024-03-30
455,Basketball,Garden,9,150.0,1350.0,2024-05-14
456,Shoes,Pets,7,30.0,210.0,2024-04-23
457,Shoes,Jewelry,4,60.0,240.0,2024-04-10
458,Hat,Music,9,160.0,1440.0,2023-07-19
459,Basketball,Electronics,3,40.0,120.0,2023-10-09
460,Hat,Office,1,180.0,180.0,2023-08-04
461,Jacket,Tools,7,60.0,420.0,2024-01-13
462,Laptop,Food,3,20.0,60.0,2024-05-14
463,Shirt,Kitchen,1,190.0,190.0,2024-02-09
464,Basketball,Sports,9,90.0,810.0,2023-06-10
465,Laptop,Beauty,7,140.0,980.0,2023-10-03
466,Hat,Beauty,5,190.0,950.0,2023-07-05
467,Gloves,Tools,2,30.0,60.0,2024-04-24
468,Shoes,Pets,7,30.0,210.0,2024-01-29
469,Pants,Jewelry,9,20.0,180.0,2023-06-11
470,Laptop,Electronics,9,90.0,810.0,2023-07-28
471,Gloves,Outdoors,6,100.0,600.0,2024-04-24
472,Laptop,Automotive,4,140.0,560.0,2024-03-10
473,Hat,Health,6,170.0,1020.0,2024-05-19
474,Shoes,Pets,6,50.0,300.0,2023-12-20
475,Basketball,Kitchen,4,130.0,520.0,2024-02-26
476,Jacket,Books,6,150.0,900.0,2023-11-24
477,Shirt,Drinks,1,80.0,80.0,2023-12-18
478,Hat,Health,3,130.0,390.0,2023-11-25
479,Shoes,Drinks,5,60.0,300.0,2023-09-25
480,Gloves,Beauty,10,1000.0,10000.0,2024-01-09
481,Pants,Food,5,90.0,450.0,2024-03-29
482,Gloves,Drinks,6,10.0,60.0,2024-06-04
483,Gloves,Kitchen,6,110.0,660.0,2024-02-02
484,Pants,Drinks,3,60.0,180.0,2024-03-09
485,Hammer,Automotive,5,60.0,300.0,2023-07-05
486,Hat,Movies,6,50.0,300.0,2023-08-07
487,Hat,Movies,7,10.0,70.0,2023-10-02
488,Jacket,Outdoors,8,130.0,1040.0,2023-09-21
489,Hammer,Jewelry,1,200.0,200.0,2024-04-25
490,Shirt,Toys,2,110.0,220.0,2024-04-30
491,Shoes,Office,7,40.0,280.0,2023-06-30
